player_0,player_1,predicted_winner,real_winner
Alex De Minaur,Tristan Boyer,Alex De Minaur,Alex De Minaur
Taylor Fritz,Cristian Garin,Taylor Fritz,Taylor Fritz
Gael Monfils,Daniel Altmaier,Gael Monfils,Gael Monfils
Ben Shelton,Pablo Carreno Busta,Ben Shelton,Ben Shelton
Denis Shapovalov,Lorenzo Musetti,Denis Shapovalov,Lorenzo Musetti
Lorenzo Sonego,Joao Fonseca,Joao Fonseca,Lorenzo Sonego
Fabian Marozsan,Frances Tiafoe,Fabian Marozsan,Fabian Marozsan
Corentin Moutet,Mitchell Krueger,Corentin Moutet,Corentin Moutet
Daniil Medvedev,Learner Tien,Daniil Medvedev,Learner Tien
Novak Djokovic,Jaime Faria,Novak Djokovic,Novak Djokovic
Reilly Opelka,Tomas Machac,Tomas Machac,Tomas Machac
Hugo Gaston,Jiri Lehecka,Jiri Lehecka,Jiri Lehecka
Francesco Passaro,Benjamin Bonzi,Benjamin Bonzi,Benjamin Bonzi
Thanasi Kokkinakis,Jack Draper,Jack Draper,Jack Draper
Aleksandar Vukic,Sebastian Korda,Sebastian Korda,Aleksandar Vukic
Nuno Borges,Jordan Thompson,Jordan Thompson,Nuno Borges
Carlos Alcaraz,Yoshihito Nishioka,Carlos Alcaraz,Carlos Alcaraz
Casper Ruud,Jakub Mensik,Informações insuficientes para prever o resultado.,Jakub Mensik
Alejandro Davidovich Fokina,Felix Auger Aliassime,Felix Auger Aliassime,Alejandro Davidovich Fokina
James Duckworth,Roberto Carballes Baena,Roberto Carballes Baena,Roberto Carballes Baena
Tommy Paul,Kei Nishikori,Tommy Paul,Tommy Paul
Hady Habib,Ugo Humbert,Ugo Humbert,Ugo Humbert
Arthur Fils,Quentin Halys,Arthur Fils,Arthur Fils
Jacob Fearnley,Arthur Cazaux,Arthur Cazaux,Jacob Fearnley
Alexander Zverev,Pedro Martinez,Alexander Zverev,Alexander Zverev
Jannik Sinner,Nicolas Jarry,Jannik Sinner,Jannik Sinner
Taro Daniel,Tristan Schoolkate,Taro Daniel,Tristan Schoolkate
Marcos Giron,Yannick Hanfmann,Marcos Giron,Marcos Giron
Flavio Cobolli,Tomas Martin Etcheverry,Informações insuficientes para prever o resultado.,Tomas Martin Etcheverry
Tallon Griekspoor,Hubert Hurkacz,Hubert Hurkacz,Hubert Hurkacz
Dusan Lajovic,Miomir Kecmanovic,Miomir Kecmanovic,Miomir Kecmanovic
Cameron Norrie,Matteo Berrettini,Matteo Berrettini,Matteo Berrettini
Zhizhen Zhang,Holger Rune,Holger Rune,Holger Rune
Stefanos Tsitsipas,Alex Michelsen,Stefanos Tsitsipas,Alex Michelsen
James Mccabe,Martin Landaluce,James Mccabe,James Mccabe
Gabriel Diallo,Luca Nardi,Gabriel Diallo,Gabriel Diallo
Karen Khachanov,Adrian Mannarino,Karen Khachanov,Karen Khachanov
Alexander Bublik,Francisco Cerundolo,Francisco Cerundolo,Francisco Cerundolo
Facundo Diaz Acosta,Zizou Bergs,Zizou Bergs,Facundo Diaz Acosta
Federico Coria,Tristan Boyer,Federico Coria,Tristan Boyer
Alex De Minaur,Botic Van De Zandschulp,Alex De Minaur,Alex De Minaur
Jenson Brooksby,Taylor Fritz,Taylor Fritz,Taylor Fritz
Borna Coric,Cristian Garin,Borna Coric,Cristian Garin
Francisco Comesana,Daniel Altmaier,Daniel Altmaier,Daniel Altmaier
Giovanni Mpetshi Perricard,Gael Monfils,Gael Monfils,Gael Monfils
Ben Shelton,Brandon Nakashima,Ben Shelton,Ben Shelton
Kamil Majchrzak,Pablo Carreno Busta,Pablo Carreno Busta,Pablo Carreno Busta
Roberto Bautista Agut,Denis Shapovalov,Denis Shapovalov,Denis Shapovalov
Matteo Arnaldi,Lorenzo Musetti,Lorenzo Musetti,Lorenzo Musetti
Andrey Rublev,Joao Fonseca,Andrey Rublev,Joao Fonseca
Lorenzo Sonego,Stan Wawrinka,Lorenzo Sonego,Lorenzo Sonego
Thiago Seyboth Wild,Fabian Marozsan,Fabian Marozsan,Fabian Marozsan
Arthur Rinderknech,Frances Tiafoe,Frances Tiafoe,Frances Tiafoe
Alexei Popyrin,Corentin Moutet,Alexei Popyrin,Corentin Moutet
Mitchell Krueger,Rinky Hijikata,Rinky Hijikata,Mitchell Krueger
Camilo Ugo Carabelli,Learner Tien,Learner Tien,Learner Tien
Kasidit Samrej,Daniil Medvedev,Daniil Medvedev,Daniil Medvedev
Novak Djokovic,Nishesh Basavareddy,Novak Djokovic,Novak Djokovic
Pavel Kotov,Jaime Faria,Pavel Kotov,Jaime Faria
Reilly Opelka,Gauthier Onclin,Reilly Opelka,Reilly Opelka
Tomas Machac,Sumit Nagal,Tomas Machac,Tomas Machac
Jiri Lehecka,Li Tu,Jiri Lehecka,Jiri Lehecka
Hugo Gaston,Omar Jasika,Hugo Gaston,Hugo Gaston
Benjamin Bonzi,David Goffin,Benjamin Bonzi,Benjamin Bonzi
Francesco Passaro,Grigor Dimitrov,Grigor Dimitrov,Francesco Passaro
Jack Draper,Mariano Navone,Jack Draper,Jack Draper
Roman Safiullin,Thanasi Kokkinakis,Thanasi Kokkinakis,Thanasi Kokkinakis
Damir Dzumhur,Aleksandar Vukic,Aleksandar Vukic,Aleksandar Vukic
Lukas Klein,Sebastian Korda,Sebastian Korda,Sebastian Korda
Jordan Thompson,Dominik Koepfer,Jordan Thompson,Jordan Thompson
Nuno Borges,Alexandre Muller,Nuno Borges,Nuno Borges
Aziz Dougaz,Yoshihito Nishioka,Yoshihito Nishioka,Yoshihito Nishioka
Alexander Shevchenko,Carlos Alcaraz,Carlos Alcaraz,Carlos Alcaraz
Jaume Munar,Casper Ruud,Casper Ruud,Casper Ruud
Nikoloz Basilashvili,Jakub Mensik,Informações insuficientes para prever o resultado.,Jakub Mensik
Alejandro Davidovich Fokina,Juncheng Shang,Juncheng Shang,Alejandro Davidovich Fokina
Felix Auger Aliassime,Jan Lennard Struff,Informações insuficientes para prever o resultado.,Felix Auger Aliassime
Roberto Carballes Baena,Alejandro Tabilo,Alejandro Tabilo,Roberto Carballes Baena
Dominic Stricker,James Duckworth,Dominic Stricker,James Duckworth
Thiago Monteiro,Kei Nishikori,Kei Nishikori,Kei Nishikori
Christopher Oconnell,Tommy Paul,Tommy Paul,Tommy Paul
Matteo Gigante,Ugo Humbert,Informações insuficientes para prever o resultado.,Ugo Humbert
Bu Yunchaokete,Hady Habib,Bu Yunchaokete,Hady Habib
Adam Walton,Quentin Halys,Quentin Halys,Quentin Halys
Arthur Fils,Otto Virtanen,Arthur Fils,Arthur Fils
Arthur Cazaux,Sebastian Baez,Arthur Cazaux,Arthur Cazaux
Jacob Fearnley,Nick Kyrgios,Nick Kyrgios,Jacob Fearnley
Luciano Darderi,Pedro Martinez,Pedro Martinez,Pedro Martinez
Lucas Pouille,Alexander Zverev,Alexander Zverev,Alexander Zverev
